STUID,DOB,GENDER,ETHNICITYID,ETHNICITY,CITYID,CITY,DISTRICTID,DISTRICT,FEEDERID,FEEDER,PROGRAMSTART,CODE,PROGRAM,DEGREEID,DEGREE,PROGRAMSTATUS,GRADDATE,PROGRAMEND,BREAK,ENROLLEDSEMESTER,SEMESTERCREDITSATTEMPTED,SEMESTERCREDITSEARNED,SEMESTERPOINTS,SEMESTERGPA,COURSECODE,COURSETITLE,COURSEGRADE,COURSECREDITS,COURSEPOINTS,COURSEGPA,COMMENTS,CGPA
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-2,3.00,3.00,0.00,3.10,CMPS328,DATABASE MGMT. SYS. II,F,3.00,0.00,0.00,REPEAT,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-2,3.00,3.00,12.00,3.10,CMPS332,P C REPAIR,A,3.00,12.00,4.00,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-2,3.00,3.00,6.00,3.10,PHYS241,GENERAL PHYSICS I,C,3.00,6.00,2.00,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2005-1,3.00,3.00,10.50,3.50,CMPS416,COMPILER CONSTRUCTION,B+,3.00,10.50,3.50,,3.26
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2002-1,3.00,3.00,9.00,3.29,CMPS248,SOFTWARE IN SOCIETY,B,3.00,9.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2002-1,3.00,3.00,9.00,3.29,HIST201,BELIZEAN HISTORY,B,3.00,9.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2002-2,3.00,3.00,9.00,3.50,CMPS155,COMPUTER TECHNOLOGY,B,3.00,9.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2003-1,4.00,4.00,15.00,3.61,MATH210,DIFFERENTIAL CALCULUS,A-,4.00,15.00,3.75,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2003-2,3.00,3.00,7.50,3.04,CMPS260,PROJECT,C+,3.00,7.50,2.50,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-1,3.00,3.00,9.00,2.90,CMPS314,ALGORITHMS,B,3.00,9.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-1,3.00,3.00,9.00,2.90,MATH330,DISCRETE MATHEMATHICS,B,3.00,9.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2005-1,3.00,3.00,12.00,3.65,CMPS414,NETWORKING II,A,3.00,12.00,4.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2002-1,1.00,1.00,3.75,3.29,GSTU101,STUDY SKILLS,A-,1.00,3.75,3.75,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2003-1,3.00,3.00,9.00,3.61,CMPS246,COMPUTER ARCHITECTURE,B,3.00,9.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-1,3.00,3.00,9.00,2.90,ENGL318,TECHNICAL WRITING.,B,3.00,9.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-2,3.00,3.00,12.00,3.40,CMPS332,P C REPAIR,A,3.00,12.00,4.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2002-1,3.00,3.00,9.00,3.29,CMPS145,INTRODUCTION TO COMPUTER SYSTEMS,B,3.00,9.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2002-1,4.00,4.00,14.00,3.29,CMPS146,PROGRAMMING FOUNDATIONS,B+,4.00,14.00,3.50,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2003-1,3.00,3.00,12.00,3.61,CMPS247,COMPUTER NETWORKING I,A,3.00,12.00,4.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-2,3.00,3.00,9.00,3.40,CMPS324,SOFTWARE ENGINEERING,B,3.00,9.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-2,3.00,3.00,10.50,3.40,CMPS328,DATABASE MGMT. SYS. II,B+,3.00,10.50,3.50,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2005-1,3.00,3.00,11.25,3.65,MATH441,NUMERICAL ANALYSIS,A-,3.00,11.25,3.75,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2005-1,3.00,3.00,12.00,3.65,MATH480,LINEAR PROGRAMMING.,A,3.00,12.00,4.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2005-2,12.00,12.00,36.00,3.00,CMPS429,SENIOR INTERNSHIP,B,12.00,36.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2002-1,3.00,3.00,11.25,3.29,SPAN111,SPANISH 1,A-,3.00,11.25,3.75,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2003-1,3.00,3.00,11.25,3.61,CMPS156,DATA STRUCTURES,A-,3.00,11.25,3.75,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2003-2,3.00,3.00,9.00,3.04,CMPS256,OPERATING SYSTEMS,B,3.00,9.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2003-2,4.00,4.00,14.00,3.04,CMPS255,OBJECT ORIENTED SYSTEM DEV.,B+,4.00,14.00,3.50,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-2,3.00,3.00,9.00,3.40,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,B,3.00,9.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2002-2,3.00,3.00,10.50,3.50,CMPS144,PRINCIPLES OF PROGRAMMING II,B+,3.00,10.50,3.50,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2002-2,3.00,3.00,11.25,3.50,MATH124,TRIGONOMETRY,A-,3.00,11.25,3.75,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2003-1,3.00,3.00,10.50,3.61,CMPS245,DATABASE MANAGEMENT SYSTEMS I,B+,3.00,10.50,3.50,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-1,3.00,3.00,9.00,2.90,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,B,3.00,9.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-1,3.00,3.00,7.50,2.90,CMPS316,PROGRAMMING LANGUAGES,C+,3.00,7.50,2.50,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-2,3.00,3.00,10.50,3.40,CMPS412,ADVANCED COMPUTER ARCHITECTURE,B+,3.00,10.50,3.50,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2005-1,3.00,3.00,10.50,3.65,CMPS418,LINUX ADMINISTRATION,B+,3.00,10.50,3.50,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2002-2,3.00,3.00,10.50,3.50,CMPS157,SYSTEM ANALYSIS,B+,3.00,10.50,3.50,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2002-2,3.00,3.00,11.25,3.50,MATH125,ADVANCED ALGEBRA,A-,3.00,11.25,3.75,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2002-2,3.00,3.00,10.50,3.50,PSYC221,INTRO TO PSYCHOLOGY,B+,3.00,10.50,3.50,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2003-2,3.00,3.00,9.00,3.04,SOCL221,INTRODUCTION TO SOCIOLOGY,B,3.00,9.00,3.00,,3.32
19,27/12/1980,F,13,Mestizo,"52,456",ORANGE WALK,25,ORANGE WALK,164,UNIVERSITY OF BELIZE,19/08/2002,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2005-1,3.00,3.00,9.00,3.65,CMPS416,COMPILER CONSTRUCTION,B,3.00,9.00,3.00,,3.32
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2008-1,3.00,0.00,0.00,0.38,MAT103,TRIGONOMETRY 1,WF,3.00,0.00,0.00,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2008-2,3.00,3.00,0.00,1.75,CMPS144,PRINCIPLES OF PROGRAMMING II,F,3.00,0.00,0.00,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2011-2,3.00,0.00,0.00,2.00,MATH1302,CALCULUS I,WF,3.00,0.00,0.00,REPEAT,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2011-2,3.00,3.00,6.00,2.00,MGMT1014,FUNDAMENTALS OF MANAGEMENT,C,3.00,6.00,2.00,REPEAT,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2011-3,3.00,3.00,10.50,3.50,ENGL2105,COMMUNICATION SKILLS,B+,3.00,10.50,3.50,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2013-2,3.00,3.00,0.00,0.00,CMPS1232,PRINCIPLES OF PROGRAMMING II,F,3.00,0.00,0.00,REPEAT,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2014-1,3.00,3.00,0.00,0.00,CMPS2111,SYSTEMS ANALYSIS,F,3.00,0.00,0.00,REPEAT,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2016-1,3.00,3.00,0.00,0.00,CMPS2111,SYSTEMS ANALYSIS,F,3.00,0.00,0.00,REPEAT,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2008-1,3.00,3.00,0.00,0.38,CMPS142,PRINCIPLES OF PROGRAMMING I,F,3.00,0.00,0.00,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2008-1,3.00,3.00,4.50,0.38,CMPS318,ADVANCED PC REPAIR,D+,3.00,4.50,1.50,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2008-2,3.00,0.00,0.00,1.75,CMPS157,SYSTEM ANALYSIS,WF,3.00,0.00,0.00,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2008-2,3.00,0.00,0.00,1.75,MATH104,CALCULUS I,WF,3.00,0.00,0.00,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2012-3,3.00,0.00,0.00,,MATH1201,TRIGONOMETRY,RE,3.00,0.00,0.00,REPEAT,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2013-1,3.00,0.00,0.00,,CMPS2111,SYSTEMS ANALYSIS,RE,3.00,0.00,0.00,REPEAT,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2013-3,3.00,,,,MATH1201,TRIGONOMETRY,NG,3.00,,,REPEAT,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2014-1,3.00,,,0.00,MATH1201,TRIGONOMETRY,NG,3.00,,,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2014-3,3.00,3.00,10.50,3.50,MGMT1014,FUNDAMENTALS OF MANAGEMENT,B+,3.00,10.50,3.50,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2015-1,3.00,0.00,0.00,,CMPS4251,COMPUTER AND NETWORK SECURITY,RE,3.00,0.00,0.00,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2015-2,3.00,0.00,0.00,,CMPS4181,MOBILE APPLICATION DEVELOPMENT,RE,3.00,0.00,0.00,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2016-1,3.00,3.00,0.00,0.00,CMPS1124,AN INTRODUCTION TO PROGRAMMING USING PYTHON,F,3.00,0.00,0.00,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2016-2,3.00,,,,MATH1201,TRIGONOMETRY,NG,3.00,,,REPEAT,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2008-2,3.00,0.00,0.00,1.75,MGMT101,APPLIED MANAGEMENT I,WF,3.00,0.00,0.00,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2008-2,3.00,3.00,10.50,1.75,CMPS360,MANAGEMENT INFORMATION SYSTEM,B+,3.00,10.50,3.50,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2011-1,3.00,3.00,6.00,1.00,CMPS1131,PROGRAMMING I,C,3.00,6.00,2.00,,1.33
56,30/10/1981,M,13,Mestizo,"52,997",BELMOPAN CITY,393,CAYO,164,UNIVERSITY OF BELIZE,18/08/2008,BINT,Information Technology,13,Bachelor of Science,Terminated,,,-,2011-1,3.00,3.00,0.00,1.00,CMPS2171,DATABASE MANAGEMENT SYSTEMS I,F,3.00,0.00,0.00,,1.33
